Soy el rank 0, empiezo en 0 y mi tamaño es 290
Soy el rank 3, empiezo en 870 y mi tamaño es 290
Soy el rank 2, empiezo en 580 y mi tamaño es 290
El tamaño total es 1160
Soy el rank 1, empiezo en 290 y mi tamaño es 290
2 0 0 Valor de food_to_share: 0.000000, posiciones: 28.121981 (row) , 22.437031 (col) 
2 0 1 Valor de food_to_share: 0.000000, posiciones: 28.121981 (row) , 22.437031 (col) 
2 1 1 Valor de food_to_share: 0.000000, posiciones: 21.701389 (row) , 12.240622 (col) 
2 0 3 Valor de food_to_share: 0.000000, posiciones: 28.121981 (row) , 22.437031 (col) 
2 1 3 Valor de food_to_share: 0.000000, posiciones: 21.701389 (row) , 12.240622 (col) 
2 2 3 Valor de food_to_share: 0.000000, posiciones: 25.706137 (row) , 34.512814 (col) 
2 3 3 Valor de food_to_share: 0.000000, posiciones: 3.009085 (row) , 22.603512 (col) 
2 4 3 Valor de food_to_share: 0.000000, posiciones: 12.399624 (row) , 9.575141 (col) 
2 5 3 Valor de food_to_share: 0.000000, posiciones: 8.402068 (row) , 35.529583 (col) 
2 6 3 Valor de food_to_share: 0.000000, posiciones: 18.467335 (row) , 35.104126 (col) 
2 7 3 Valor de food_to_share: 0.000000, posiciones: 18.339361 (row) , 6.544750 (col) 
2 0 2 Valor de food_to_share: 0.000000, posiciones: 28.121981 (row) , 22.437031 (col) 
2 1 2 Valor de food_to_share: 0.000000, posiciones: 21.701389 (row) , 12.240622 (col) 
2 2 2 Valor de food_to_share: 0.000000, posiciones: 25.706137 (row) , 34.512814 (col) 
2 3 2 Valor de food_to_share: 0.000000, posiciones: 3.009085 (row) , 22.603512 (col) 
2 4 2 Valor de food_to_share: 0.000000, posiciones: 12.399624 (row) , 9.575141 (col) 
2 5 2 Valor de food_to_share: 0.000000, posiciones: 8.402068 (row) , 35.529583 (col) 
2 6 2 Valor de food_to_share: 0.000000, posiciones: 18.467335 (row) , 35.104126 (col) 
2 7 2 Valor de food_to_share: 0.000000, posiciones: 18.339361 (row) , 6.544750 (col) 
2 1 0 Valor de food_to_share: 0.000000, posiciones: 21.701389 (row) , 12.240622 (col) 
2 2 0 Valor de food_to_share: 0.000000, posiciones: 25.706137 (row) , 34.512814 (col) 
2 3 0 Valor de food_to_share: 0.000000, posiciones: 3.009085 (row) , 22.603512 (col) 
2 4 0 Valor de food_to_share: 0.000000, posiciones: 12.399624 (row) , 9.575141 (col) 
2 5 0 Valor de food_to_share: 0.000000, posiciones: 8.402068 (row) , 35.529583 (col) 
2 6 0 Valor de food_to_share: 0.000000, posiciones: 18.467335 (row) , 35.104126 (col) 
2 7 0 Valor de food_to_share: 0.000000, posiciones: 18.339361 (row) , 6.544750 (col) 
2 2 1 Valor de food_to_share: 0.000000, posiciones: 25.706137 (row) , 34.512814 (col) 
2 3 1 Valor de food_to_share: 0.000000, posiciones: 3.009085 (row) , 22.603512 (col) 
2 4 1 Valor de food_to_share: 0.000000, posiciones: 12.399624 (row) , 9.575141 (col) 
2 5 1 Valor de food_to_share: 0.000000, posiciones: 8.402068 (row) , 35.529583 (col) 
2 6 1 Valor de food_to_share: 0.000000, posiciones: 18.467335 (row) , 35.104126 (col) 
2 7 1 Valor de food_to_share: 0.000000, posiciones: 18.339361 (row) , 6.544750 (col) 
3 0 0 Valor de food_to_share: 0.000000, posiciones: 27.874506 (row) , 21.468136 (col) 
3 1 0 Valor de food_to_share: 0.000000, posiciones: 22.551746 (row) , 11.714415 (col) 
3 0 1 Valor de food_to_share: 0.000000, posiciones: 27.874506 (row) , 21.468136 (col) 
3 0 2 Valor de food_to_share: 0.000000, posiciones: 27.874506 (row) , 21.468136 (col) 
3 1 2 Valor de food_to_share: 0.000000, posiciones: 22.551746 (row) , 11.714415 (col) 
3 2 2 Valor de food_to_share: 0.000000, posiciones: 25.272406 (row) , 33.611771 (col) 
3 3 2 Valor de food_to_share: 0.000000, posiciones: 3.758536 (row) , 21.941452 (col) 
3 4 2 Valor de food_to_share: 0.000000, posiciones: 12.315210 (row) , 10.571571 (col) 
3 5 2 Valor de food_to_share: 0.000000, posiciones: 9.398652 (row) , 35.612171 (col) 
3 0 3 Valor de food_to_share: 0.000000, posiciones: 27.874506 (row) , 21.468136 (col) 
3 1 3 Valor de food_to_share: 0.000000, posiciones: 22.551746 (row) , 11.714415 (col) 
3 2 3 Valor de food_to_share: 0.000000, posiciones: 25.272406 (row) , 33.611771 (col) 
